Year,Date,Subregion,Habitat,SiteID,Site_name,StationID,Surveyed_all_years,points,Cyanobacteria,Macroalgae,Octocoral,Others,Porifera,Seagrass,Stony_coral,Substrate,Unknown,Urchins,Zoanthidea
1996,7/25/1996,UK,HB,10,Rattlesnake,101,N,479,,0.1587,0.0230,0.0000,0.0125,0.0042,0.0000,0.8017,,0.0000,0.0000
1996,7/25/1996,UK,HB,10,Rattlesnake,102,N,525,,0.2476,0.0400,0.0000,0.0305,0.0000,0.0000,0.6819,,0.0000,0.0000
1996,7/25/1996,UK,HB,10,Rattlesnake,103,N,558,,0.0323,0.0412,0.0000,0.0394,0.0036,0.0000,0.8835,,0.0000,0.0000
1996,7/25/1996,UK,HB,10,Rattlesnake,104,N,446,,0.4260,0.0493,0.0000,0.0404,0.0000,0.0000,0.4843,,0.0000,0.0000
1996,7/22/1996,UK,HB,11,El Radabob,111,N,450,,0.3156,0.0067,0.0000,0.0000,0.3133,0.0000,0.3644,,0.0000,0.0000
1996,7/22/1996,UK,HB,11,El Radabob,112,N,421,,0.2874,0.0119,0.0000,0.0024,0.2494,0.0000,0.4489,,0.0000,0.0000
1996,7/22/1996,UK,HB,11,El Radabob,113,N,468,,0.3568,0.0021,0.0000,0.0107,0.3397,0.0000,0.2906,,0.0000,0.0000
1996,7/22/1996,UK,HB,11,El Radabob,114,N,445,,0.3416,0.0000,0.0000,0.0270,0.3820,0.0000,0.2494,,0.0000,0.0000
1996,8/14/1996,UK,HB,12,Dove Key,121,N,586,,0.3908,0.0205,0.0000,0.0102,0.0068,0.0000,0.5717,,0.0000,0.0000
1996,8/14/1996,UK,HB,12,Dove Key,122,N,578,,0.2647,0.0121,0.0000,0.0104,0.0000,0.0000,0.7128,,0.0000,0.0000
1996,8/14/1996,UK,HB,12,Dove Key,123,N,590,,0.5102,0.0136,0.0000,0.0356,0.0203,0.0017,0.4186,,0.0000,0.0000
1996,8/14/1996,UK,HB,12,Dove Key,124,N,599,,0.0484,0.0083,0.0000,0.0117,0.0050,0.0000,0.9265,,0.0000,0.0000
1996,8/15/1996,MK,HB,14,Long Key,141,N,498,,0.2008,0.1165,0.0000,0.0020,0.0000,0.0321,0.6486,,0.0000,0.0000
1996,8/15/1996,MK,HB,14,Long Key,142,N,562,,0.4004,0.0925,0.0000,0.0000,0.0000,0.1317,0.3754,,0.0000,0.0000
1996,8/15/1996,MK,HB,14,Long Key,143,N,584,,0.1695,0.1490,0.0000,0.0103,0.0000,0.0068,0.6644,,0.0000,0.0000
1996,8/15/1996,MK,HB,14,Long Key,144,N,570,,0.3474,0.1421,0.0000,0.0088,0.0000,0.0386,0.4632,,0.0000,0.0000
1996,8/21/1996,MK,HB,15,Moser Channel,151,N,734,,0.7330,0.1322,0.0000,0.0272,0.0000,0.0163,0.0913,,0.0000,0.0000
1996,8/21/1996,MK,HB,15,Moser Channel,152,N,625,,0.7376,0.0640,0.0000,0.0000,0.0000,0.0112,0.1872,,0.0000,0.0000
1996,8/21/1996,MK,HB,15,Moser Channel,153,N,615,,0.5415,0.1382,0.0000,0.0293,0.0000,0.0211,0.2699,,0.0000,0.0000
1996,8/21/1996,MK,HB,15,Moser Channel,154,N,600,,0.7267,0.0900,0.0000,0.0050,0.0000,0.0167,0.1617,,0.0000,0.0000
1996,8/19/1996,MK,HB,16,Molasses Keys,161,N,567,,0.5168,0.0176,0.0000,0.0000,0.0000,0.0018,0.4638,,0.0000,0.0000
1996,8/19/1996,MK,HB,16,Molasses Keys,162,N,538,,0.4257,0.0204,0.0000,0.0019,0.0019,0.0000,0.5502,,0.0000,0.0000
1996,8/19/1996,MK,HB,16,Molasses Keys,163,N,526,,0.6293,0.0209,0.0000,0.0000,0.0038,0.0038,0.3422,,0.0000,0.0000
1996,8/19/1996,MK,HB,16,Molasses Keys,164,N,494,,0.7348,0.0526,0.0000,0.0000,0.0020,0.0000,0.2105,,0.0000,0.0000
1996,9/10/1996,LK,BCP,18,Content Keys,181,Y,584,,0.1866,0.0000,0.0000,0.0308,0.0000,0.0034,0.7791,,0.0000,0.0000
1996,9/10/1996,LK,BCP,18,Content Keys,182,N,678,,0.6652,0.0000,0.0000,0.0103,0.0000,0.0059,0.3186,,0.0000,0.0000
1996,9/10/1996,LK,BCP,18,Content Keys,183,Y,590,,0.0441,0.0000,0.0000,0.0017,0.0000,0.0068,0.9475,,0.0000,0.0000
1996,9/10/1996,LK,BCP,18,Content Keys,184,Y,580,,0.6793,0.0000,0.0328,0.0172,0.0000,0.0086,0.2621,,0.0000,0.0000
1996,7/24/1996,UK,P,30,Turtle,301,Y,599,,0.0568,0.3907,0.0000,0.0050,0.0000,0.0902,0.4574,,0.0000,0.0000
1996,7/24/1996,UK,P,30,Turtle,302,Y,407,,0.2359,0.3538,0.0000,0.0049,0.0000,0.0663,0.3342,,0.0000,0.0049
1996,7/25/1996,UK,P,30,Turtle,303,N,505,,0.0059,0.3545,0.0000,0.0238,0.0059,0.1426,0.4673,,0.0000,0.0000
1996,7/25/1996,UK,P,30,Turtle,304,N,476,,0.1303,0.3782,0.0000,0.0399,0.0000,0.0630,0.3887,,0.0000,0.0000
1996,7/19/1996,UK,P,32,Porter Patch,321,Y,585,,0.0427,0.1470,0.0000,0.2752,0.0479,0.0188,0.4632,,0.0000,0.0051
1996,7/19/1996,UK,P,32,Porter Patch,322,Y,501,,0.0838,0.1577,0.0000,0.0579,0.0000,0.0419,0.6587,,0.0000,0.0000
1996,7/19/1996,UK,P,32,Porter Patch,323,Y,540,,0.1370,0.0926,0.0000,0.0611,0.0019,0.0037,0.6944,,0.0000,0.0093
1996,7/19/1996,UK,P,32,Porter Patch,324,N,590,,0.0610,0.1390,0.0000,0.0254,0.0102,0.0288,0.7305,,0.0000,0.0051
1996,7/23/1996,UK,P,33,Admiral,331,Y,594,,0.0471,0.2003,0.0000,0.0000,0.0000,0.4007,0.3519,,0.0000,0.0000
1996,7/23/1996,UK,P,33,Admiral,332,Y,539,,0.0019,0.1169,0.0000,0.0000,0.0000,0.4861,0.3952,,0.0000,0.0000
1996,7/23/1996,UK,P,33,Admiral,333,Y,549,,0.0310,0.2732,0.0000,0.0000,0.0000,0.2732,0.4226,,0.0000,0.0000
1996,7/23/1996,UK,P,33,Admiral,334,Y,567,,0.0141,0.4444,0.0000,0.0035,0.0000,0.1481,0.3898,,0.0000,0.0000
1996,8/27/1996,MK,P,34,West Turtle Shoal,341,Y,481,,0.0042,0.2141,0.0000,0.0790,0.0000,0.1227,0.5509,,0.0000,0.0291
1996,8/27/1996,MK,P,34,West Turtle Shoal,342,Y,603,,0.0149,0.3267,0.0000,0.0813,0.0000,0.0597,0.5158,,0.0000,0.0017
1996,8/17/1996,MK,P,34,West Turtle Shoal,343,Y,600,,0.0267,0.2983,0.0000,0.0917,0.0000,0.1817,0.3733,,0.0000,0.0283
1996,8/27/1996,MK,P,34,West Turtle Shoal,344,Y,512,,0.0039,0.3496,0.0000,0.0371,0.0000,0.2031,0.3867,,0.0000,0.0195
1996,8/20/1996,MK,P,35,Dustan Rocks,351,N,560,,0.0500,0.4982,0.0000,0.0321,0.0000,0.0911,0.3071,,0.0000,0.0214
1996,8/20/1996,MK,P,35,Dustan Rocks,352,Y,502,,0.1594,0.3466,0.0000,0.0518,0.0000,0.2171,0.2191,,0.0000,0.0060
1996,8/20/1996,MK,P,35,Dustan Rocks,353,Y,577,,0.1005,0.2253,0.0000,0.0191,0.0000,0.1334,0.4991,,0.0000,0.0225
1996,8/20/1996,MK,P,35,Dustan Rocks,354,Y,558,,0.0376,0.4194,0.0000,0.0197,0.0000,0.1326,0.3656,,0.0000,0.0251
1996,9/10/1996,LK,P,36,West Washer Women,361,Y,624,,0.0529,0.1827,0.0000,0.0128,0.0000,0.3237,0.4279,,0.0000,0.0000
1996,9/10/1996,LK,P,36,West Washer Women,362,N,567,,0.0000,0.1446,0.0000,0.0088,0.0000,0.3563,0.4903,,0.0000,0.0000
1996,9/10/1996,LK,P,36,West Washer Women,363,Y,593,,0.0236,0.1551,0.0000,0.0304,0.0000,0.3339,0.4570,,0.0000,0.0000
